Carrier_ID,Carrier_Name,HQ_City,HQ_State,Fleet_Size,Founded_Year,Rating_5,Contact_Email,Annual_Revenue_Cr,Owns_Aircraft,Service_Type,Pan_India,ISO_Certified,Active_Pincodes,NPS_Score
CAR00001,Spoton Logistics,Indore,West Bengal,18065,2022,1.5,ops1@carrier.in,2411.43,TRUE,Next Day,FALSE,FALSE,16094,40
CAR00002,Vulcan Express,Ujjain,Karnataka,--,2007,4,ops2@carrier.in,2597.12,TRUE,Economy,TRUE,FALSE,13921,
CAR00003,Om Logistics,Panaji,Himachal Pradesh,9199,1993,4.1,ops3@carrier.in,7089.22,FALSE,Economy,TRUE,TRUE,17921,44
CAR00004,Shadowfax Technologies,Hyderabad,Tamil Nadu,6145,2009,1.6,ops4@carrier.in,12776.83,TRUE,Same Day,FALSE,TRUE,9653,10
CAR00005,VRL Logistics,Salem,Uttar Pradesh,17694,1988,2.9,ops5@carrier.in,8321.29,FALSE,Express,FALSE,TRUE,7549,19
CAR00006,DTDC Express,Ahmedabad,Gujarat,9174,1996,4.2,ops6@carrier.in,16344.47,TRUE,Express,TRUE,TRUE,13415,19
CAR00007,Porter Technologies,Rohtak,Maharashtra,7403,1992,4.4,ops7@carrier.in,5847.28,TRUE,Express,TRUE,TRUE,12727,28
CAR00008,Trackon Couriers,Margao,Assam,18857,1985,1.6,ops8@carrier.in,782.6,FALSE,Economy,FALSE,TRUE,17630,12
CAR00009,Dunzo Daily,Trichy,Odisha,4743,2008,4.4,ops9@carrier.in,13051.54,no,Same Day,TRUE,TRUE,9102,
CAR00010,Professional Couriers,Kanpur,Bihar,16324,2002,3.1,ops10@carrier.in,6813.45,TRUE,Economy,TRUE,TRUE,14204,28
CAR00011,DHL Express India,Dhanbad,Uttar Pradesh,1892,1999,4.5,ops11@carrier.in,17056.61,TRUE,Same Day,FALSE,FALSE,13072,51
CAR00012,TCI Express,Dhanbad,Himachal Pradesh,17551,2017,2.1,ops12@carrier.in,18601.07,FALSE,Next Day,TRUE,FALSE,1397,12
CAR00013,Rivigo,Jamshedpur,Kerala,4933,2022,2.9,ops13@carrier.in,9585.64,TRUE,Economy,FALSE,TRUE,4978,78
CAR00014,Redif Logistics,Tezpur,Delhi,1377,2017,5,ops14@carrier.in,8000.79,no,Economy,FALSE,TRUE,1082,71
CAR00015,Shadowfax Technologies,Nashik,Telangana,16880,2008,1.7,ops15@carrier.in,11872.93,FALSE,Express,FALSE,TRUE,14754,27
CAR00016,Porter Technologies,Gurugram,Delhi,3886,2014,1.5,ops16@carrier.in,19104.53,TRUE,Same Day,TRUE,FALSE,13616,54
CAR00017,Blue Dart Express,Ambala,Gujarat,9135,1999,2.8,ops17@carrier.in,8032.76,TRUE,Express,FALSE,TRUE,8303,32
CAR00018,Porter Technologies,Jabalpur,Himachal Pradesh,12237,1983,1.5,ops18@carrier.in,11955.78,FALSE,Standard,FALSE,FALSE,2657,88
CAR00019,Om Logistics,Dehradun,Tamil Nadu,11276,2019,4.1,ops19@carrier.in,5536.02,FALSE,Express,FALSE,TRUE,10437,28
CAR00020,Mahindra Logistics,Rohini,Delhi,16074,1990,2.9,ops20@carrier.in,5334.55,FALSE,Economy,FALSE,TRUE,17208,34
CAR00021,Amazon Logistics India,Ranchi,Bihar,17061,1989,4.5,ops21@carrier.in,8462.76,FALSE,Express,TRUE,FALSE,18707,28
CAR00022,VRL Logistics,New Delhi,Delhi,3146,1991,3.5,ops22@carrier.in,4033.18,TRUE,Same Day,TRUE,FALSE,3350,27
CAR00023,VRL Logistics,Dehradun,Maharashtra,10353,1990,4.4,ops23@carrier.in,16303.05,TRUE,Express,TRUE,TRUE,4064,43
CAR00024,Speed Post,Nizamabad,Bihar,19430,2021,4.9,ops24@carrier.in,19972.17,FALSE,Same Day,TRUE,TRUE,8196,82
CAR00025,Spoton Logistics,Hubli,Uttar Pradesh,7845,1993,3.3,ops25@carrier.in,19348.45,TRUE,Economy,FALSE,TRUE,9977,43
CAR00026,Safexpress,Gwalior,Uttarakhand,11110,1998,3.3,ops26@carrier.in,18391.71,TRUE,Express,FALSE,TRUE,17532,43
CAR00027,Mahindra Logistics,Patna,Himachal Pradesh,18697,2017,2.1,ops27@carrier.in,9463.04,FALSE,Economy,FALSE,TRUE,16203,42
CAR00028,Mahindra Logistics,Haldwani,Maharashtra,12938,1984,2.7,ops28@carrier.in,1334.37,TRUE,Next Day,TRUE,FALSE,6132,66
CAR00029,DHL Express India,Ujjain,Assam,4326,2006,2.7,ops29@carrier.in,171.22,TRUE,Standard,TRUE,TRUE,2391,47
CAR00030,Trackon Couriers,Bhagalpur,Kerala,13097,1991,5,ops30@carrier.in,18205.68,TRUE,Next Day,TRUE,TRUE,16390,55
CAR00031,Amazon Logistics India,Hyderabad,Telangana,19639,2013,4.7,ops31@carrier.in,15691.95,FALSE,Next Day,TRUE,FALSE,7986,80
CAR00032,Speed Post,Aurangabad,Punjab,11308,1992,2,ops32@carrier.in,17600.4,TRUE,Same Day,TRUE,FALSE,18403,22
CAR00033,VRL Logistics,Jalandhar,Maharashtra,8294,2011,1.9,ops33@carrier.in,493.45,FALSE,Standard,TRUE,TRUE,1756,79
CAR00034,Redif Logistics,Sambalpur,Madhya Pradesh,8545,1982,4.6,ops34@carrier.in,3317.74,FALSE,Same Day,FALSE,TRUE,16135,79
CAR00035,Rivigo,Nagpur,Delhi,6586,1980,2.8,ops35@carrier.in,19545.43,FALSE,Economy,yes,FALSE,11611,51
CAR00036,Porter Technologies,Meerut,Gujarat,19789,1995,2.2,ops36@carrier.in,9801.18,FALSE,Same Day,TRUE,TRUE,17759,40
CAR00037,TVS Supply Chain,Deoghar,Gujarat,13713,1990,1.8,ops37@carrier.in,17492.52,FALSE,Economy,FALSE,TRUE,16556,88
CAR00038,Safexpress,Silchar,Tamil Nadu,8002,1994,2.3,ops38@carrier.in,14161.27,FALSE,Same Day,FALSE,TRUE,4518,48
CAR00039,TVS Supply Chain,Ludhiana,Punjab,2173,1992,4.2,ops39@carrier.in,12352.12,TRUE,Express,FALSE,FALSE,13447,39
CAR00040,FedEx India,Nashik,Bihar,8823,2008,4.2,ops40@carrier.in,9513.79,FALSE,Next Day,TRUE,FALSE,15109,
CAR00041,Shadowfax Technologies,Ahmedabad,Punjab,5551,2000,4,ops41@carrier.in,18899.96,FALSE,Next Day,TRUE,FALSE,7750,56
CAR00042,VRL Logistics,Dhanbad,West Bengal,7526,1988,3,ops42@carrier.in,5369.81,FALSE,Economy,FALSE,TRUE,3344,50
CAR00043,Porter Technologies,Bhagalpur,West Bengal,3555,2006,4.5,ops43@carrier.in,8238.3,TRUE,Same Day,TRUE,FALSE,15312,75
CAR00044,Professional Couriers,Tezpur,Uttarakhand,19019,1985,2.6,ops44@carrier.in,18347.89,FALSE,Standard,TRUE,FALSE,17111,76
CAR00045,TCI Express,Kozhikode,Telangana,1144,1981,3.6,ops45@carrier.in,4531.32,FALSE,Express,FALSE,FALSE,6366,23
CAR00046,Om Logistics,Dehradun,Punjab,12591,1981,3.6,ops46@carrier.in,16695.25,FALSE,Standard,TRUE,FALSE,10198,11
CAR00047,Trackon Couriers,Udaipur,Tamil Nadu,14946,2005,2.3,ops47@carrier.in,7356.91,TRUE,Standard,TRUE,FALSE,13536,90
