Shipment_ID,Order_ID,Customer_ID,Carrier_ID,Warehouse_ID,Vehicle_ID,Route_ID,Origin_City,Origin_State,Destination_City,Destination_State,Product_Category,Weight_kg,Volume_m3,Dispatch_Date,Expected_Delivery,Actual_Delivery,Freight_Charge_INR,GST_INR,Payment_Mode,Delivery_Status,Is_Delayed,Attempts,POD_Collected
SHP0000001,ORD0000001,CUST003373,CAR007,WH066,VEH04932,RTE002163,Salem,Tamil Nadu,Ajmer,Rajasthan,Books & Stationery,337.13,24.878,2024-04-10 00:00:00,2024-04-12 00:00:00,,3579.42,644.3,Net Banking,In Transit,TRUE,4,TRUE
SHP0000002,ORD0000002,CUST004448,CAR007,WH007,VEH04180,RTE001050,Nagpur,Maharashtra,Thiruvananthapuram,Kerala,Pharmaceuticals,67.42,23.472,2023-06-07 00:00:00,2023-06-16 00:00:00,2023-06-14 00:00:00,414.19,74.55,UPI,Lost,FALSE,2,TRUE
SHP0000003,ORD0000003,CUST006136,CAR003,WH080,VEH05835,RTE003691,Nizamabad,Telangana,Gandhinagar,Gujarat,Furniture,237.47,12.759,2024-07-30 00:00:00,2024-08-08 00:00:00,2024-08-08 00:00:00,2425.09,436.52,COD,Delivered,FALSE,2,FALSE
SHP0000004,ORD0000004,CUST003199,CAR003,WH085,VEH03624,RTE006641,Howrah,West Bengal,Jorhat,Assam,Home Appliances,67.82,,2021-05-16 00:00:00,2021-05-20 00:00:00,2021-05-19 00:00:00,708.26,127.49,Net Banking,Cancelled,FALSE,2,FALSE
SHP0000005,ORD0000005,CUST003297,CAR008,WH009,VEH04622,RTE002243,Kolkata,West Bengal,Manali,Himachal Pradesh,Industrial Goods,NA,19.31,2024-05-28 00:00:00,2024-06-09 00:00:00,2024-06-07 00:00:00,TBD,668.77,Net Banking,Pending Pickup,FALSE,2,TRUE
SHP0000006,ORD0000006,CUST005443,CAR002,WH001,VEH02570,RTE001080,Vadodara,Gujarat,Jalandhar,Punjab,Cosmetics & Personal Care,244.97,6.378,2023-09-02 00:00:00,2023-09-04 00:00:00,2023-09-04 00:00:00,1848.24,332.68,COD,Out for Delivery,FALSE,4,TRUE
SHP0000007,ORD0000007,CUST006703,CAR015,WH061,VEH00172,RTE000285,Chennai,Tamil Nadu,Faridabad,Haryana,Cosmetics & Personal Care,52.64,8.203,2024-05-06 00:00:00,2024-05-09 00:00:00,2024-05-09 00:00:00,320.32,57.66,Credit,Cancelled,FALSE,1,TRUE
SHP0000008,ORD0000008,CUST000355,CAR010,WH084,VEH02450,RTE005244,Haldwani,Uttarakhand,Dharamshala,Himachal Pradesh,Office Supplies,160.91,,2023-09-20 00:00:00,2023-09-25 00:00:00,2023-09-23 00:00:00,2745.31,494.16,UPI,Returned,FALSE,1,TRUE
SHP0000009,ORD0000009,CUST001317,CAR011,WH020,VEH03819,RTE005328,Mangaluru,Karnataka,Darbhanga,Bihar,Perishables,323.62,4.983,2024-03-25 00:00:00,2024-04-05 00:00:00,2024-04-11 00:00:00,2984.64,537.24,COD,Out for Delivery,TRUE,4,TRUE
SHP0000010,ORD0000010,CUST006702,CAR003,WH073,VEH05242,RTE003628,Manali,Himachal Pradesh,Mandi,Himachal Pradesh,Automotive Parts,497.8,14.107,2023-09-25 00:00:00,2023-10-05 00:00:00,2023-10-04 00:00:00,3678.13,662.06,Credit,Delivered,FALSE,1,TRUE
SHP0000011,ORD0000011,CUST004416,CAR002,WH079,VEH05743,RTE006697,Bhubaneswar,Odisha,New Delhi,Delhi,Industrial Goods,,13.793,2021-10-04 00:00:00,2021-10-12 00:00:00,2021-10-10 00:00:00,1442.81,259.71,Net Banking,Pending Pickup,FALSE,2,TRUE
SHP0000012,ORD0000012,CUST004992,CAR008,WH094,VEH00260,RTE006151,Noida,Delhi,Patiala,Punjab,Toys & Games,416.92,11.921,2022-07-13 00:00:00,2022-07-25 00:00:00,,2819.94,507.59,Wallet,In Transit,TRUE,3,TRUE
SHP0000013,ORD0000013,CUST005466,CAR004,WH056,VEH00094,RTE004200,Nagpur,Maharashtra,Coimbatore,Tamil Nadu,Cosmetics & Personal Care,2.35,22.943,2022-11-21 00:00:00,2022-11-29 00:00:00,,16,2.88,Credit,Out for Delivery,TRUE,2,TRUE
SHP0000014,ORD0000014,CUST005739,CAR007,WH064,VEH03280,RTE002422,Mysuru,Karnataka,Faridabad,Haryana,Perishables,295.36,19.596,2021-11-10 00:00:00,2021-11-14 00:00:00,2021-11-16 00:00:00,2725.21,490.54,Wallet,In Transit,TRUE,3,no
SHP0000015,ORD0000015,CUST001491,CAR007,WH022,VEH01503,RTE001461,Varanasi,Uttar Pradesh,Nagpur,Maharashtra,Cosmetics & Personal Care,340.61,9.382,2024-02-12 00:00:00,2024-02-23 00:00:00,2024-02-21 00:00:00,2660.97,478.97,Net Banking,In Transit,FALSE,2,FALSE
SHP0000016,ORD0000016,CUST004299,CAR012,WH023,VEH01151,RTE005191,Kolkata,West Bengal,Udaipur,Rajasthan,Perishables,140.96,15.214,2022-07-05 00:00:00,2022-07-12 00:00:00,2022-07-13 00:00:00,1270.66,228.72,COD,Delayed,TRUE,1,TRUE
