Vehicle_ID,Carrier_ID,Vehicle_Type,Registration_No,Model,Manufacture_Year,Fuel_Type,Max_Payload_tons,Mileage_kmpl,Odometer_km,Last_Service_Date,Next_Service_Due,GPS_Enabled,Insurance_Expiry,Operational_State,Driver_ID,Is_Active
VEH00001,CAR011,Heavy Truck,KA22PQ8676,Hero Splendor,2011,Electric,13.05,14.7,84780,2021-08-06 00:00:00,2024-03-24 00:00:00,TRUE,2024-10-28 00:00:00,Karnataka,DRV01782,TRUE
VEH00002,CAR011,Medium Truck,RJ41AB8003,Piaggio Ape,2020,LNG,16.92,3.6,222631,2023-06-01 00:00:00,2024-08-01 00:00:00,FALSE,2022-11-30 00:00:00,Rajasthan,DRV00833,FALSE
VEH00003,CAR009,Medium Truck,TN86CD1246,TVS King,2024,Electric,19.56,25,41204,2023-01-19 00:00:00,2023-11-01 00:00:00,FALSE,2025-04-12 00:00:00,Tamil Nadu,DRV01523,Inactive
VEH00004,CAR010,2-Wheeler,BR46CD4629,Tata Ace,2013,Diesel,6.23,13.5,287637,2022-01-01 00:00:00,2022-03-19 00:00:00,FALSE,2021-09-14 00:00:00,Bihar,DRV02096,FALSE
VEH00005,CAR012,Mini Truck,BR55AB6389,Tata Ace,2012,Diesel,0.33,,266834,2021-04-21 00:00:00,2025-09-12 00:00:00,FALSE,2022-09-27 00:00:00,Bihar,DRV04291,FALSE
VEH00006,CAR013,Mini Truck,HP61CD5710,TATA 407,2021,Diesel,12.33,21.2,344783,2022-04-06 00:00:00,2025-07-10 00:00:00,TRUE,2021-06-02 00:00:00,Himachal Pradesh,DRV01088,TRUE
VEH00007,CAR011,Pickup Van,JH20CD8014,Tata Ace,2014,CNG,20.64,4.2,446897,2022-01-12 00:00:00,2025-07-11 00:00:00,TRUE,2023-04-27 00:00:00,Jharkhand,DRV00954,FALSE
VEH00008,CAR007,Refrigerated Truck,OD20EF2243,BharatBenz 1415,2014,Electric,20.2,6.5,95536,2022-03-12 00:00:00,2025-06-04 00:00:00,1,2023-06-08 00:00:00,Odisha,DRV02658,FALSE
VEH00009,CAR010,Container Truck,GJ82CD5760,Mahindra Bolero Pickup,2021,Petrol,3.24,17.7,350432,2024-03-17 00:00:00,2024-06-17 00:00:00,FALSE,2025-11-12 00:00:00,Gujarat,DRV00188,FALSE
VEH00010,CAR012,Medium Truck,TS82AB4754,BharatBenz 1415,2009,LNG,15.34,4.7,112629,,2022-03-13 00:00:00,TRUE,2024-08-30 00:00:00,Telangana,DRV01300,FALSE
