Warehouse_ID,Warehouse_Name,Warehouse_Type,City,State,Pincode,Area_sqft,Capacity_tons,Current_Stock_tons,Manager_Name,Manager_Phone,Established_Year,Cold_Storage,Operational_Status,Monthly_Cost_INR,Carrier_ID
WH00001,Hubli Cold Storage 1,Cold Storage,Hubli,Karnataka,370846,279905,8615,232,Manager_310,9443666183,2019,FALSE,Inactive,4775138.99,CAR001
WH00002,Faridabad Hub 2,Mother Warehouse,Faridabad,Haryana,139538,16288,1784,4076,Manager_297,9398202698,2002,FALSE,Inactive,2195693.8,CAR008
WH00003,Karimnagar Mother Warehouse 3,Cold Storage,Karimnagar,Telangana,920045,222719,1803,3485,Manager_100,9583043348,2006,TRUE,Expanding,4312762.58,CAR014
WH00004,Hubli Hub 4,Hub,Hubli,Karnataka,743465,182694,1191,815,Manager_241,9121513995,2010,FALSE,Active,4067543.62,CAR003
WH00005,Gaya Spoke 5,Spoke,Gaya,Bihar,411661,175596,5571,6046,Manager_318,9971311420,2015,TRUE,Active,1170226.16,CAR014
WH00006,Ranchi Hub 6,Hub,Ranchi,Jharkhand,439541,227117,660,8601,Manager_465,9310028526,2008,TRUE,Under Maintenance,829137.04,CAR006
WH00007,Deoghar Transit Depot 7,Spoke,Deoghar,Jharkhand,319504,136659,2991,2714,Manager_408,9395057877,2012,TRUE,Active,1481137.2,CAR005
WH00008,Darbhanga Transit Depot 8,Spoke,Darbhanga,Bihar,475172,143609,6079,8113,Manager_74,9867898536,2012,FALSE,Active,2295619.88,CAR008
WH00009,Roorkee Mother Warehouse 9,Cold Storage,Roorkee,Uttarakhand,852490,179646,7116,2021,Manager_45,9906917037,2010,TRUE,Under Maintenance,2864615.58,CAR010
WH00010,Asansol Spoke 10,Fulfillment Center,Asansol,West Bengal,532815,69971,85,3277,Manager_437,9999917277,2018,TRUE,Inactive,4764328.16,CAR015
WH00011,Mapusa Transit Depot 11,Mother Warehouse,Mapusa,Goa,916570,65189,3549,7034,Manager_264,9107173002,2023,FALSE,Expanding,286867.32,CAR015
WH00012,Shimla Mother Warehouse 12,Cold Storage,Shimla,Himachal Pradesh,990785,180702,4493,7994,Manager_450,9939517954,2002,1,Expanding,816802.95,CAR014
WH00013,Rishikesh Spoke 13,Spoke,Rishikesh,Uttarakhand,345550,151670,2610,5073,Manager_212,9697263543,2003,TRUE,Expanding,1614859.45,CAR010
WH00014,Mangaluru Mother Warehouse 14,Mother Warehouse,Mangaluru,Karnataka,561618,155948,2381,2596,Manager_418,9501250874,2004,FALSE,Inactive,3789474.75,CAR015
WH00015,Khammam Mother Warehouse 15,Spoke,Khammam,Telangana,613444,214167,9089,6705,Manager_107,9620475459,2023,TRUE,Active,2332465.3,CAR011
WH00016,Durgapur Cold Storage 16,Spoke,Durgapur,West Bengal,138995,--,159,1509,Manager_199,9463851058,2008,FALSE,Expanding,2428427.67,CAR006
